text,type
ಅವನು ನನ್ನನ್ನು ಸಮಾಧಾನ ಪಡಿಸಿದನು,EMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಖಿನ್ನವಾಗಿದ್ದೇನೆ,
ನಾನು ಅವನನ್ನು ಕಂಡು ಭಯಗೊಂಡಿದ್ದೇನೆ,EMOTION
ಅವಳು ನನ್ನನ್ನು ಕುರಿತು ಕಂಡು ನಗುವುದು,
ನಾನು ಅವನನ್ನು ಹೊಂದಿಕೊಂಡೆ,NOEMOTION
ನಾನು ಕಣ್ಣೀರು ಸುರಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ಅವನು ನನ್ನನ್ನು ಸಮಾಧಾನ ಪಡಿಸಲು ಯತ್ನಿಸಿದನು,NOEMOTION
ನಾನು ಅವನನ್ನು ತೆಗಳಿಕೊಂಡೆ,
ನಾನು ನಿಜವಾಗಿಯೂ ನಿರೀಕ್ಷೆಯನ್ನು ಉಳಿಸಲಾರೆ,
ನಾನು ಅವನನ್ನು ಮರೆತಿದ್ದೇನೆ,
ಅವನು ನನ್ನನ್ನು ಕುರಿತು ಕಳ್ಳಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ದೋಷಿ ಎಂದ,
ನಾನು ಆತಂಕದಿಂದ ಹೊರಟಿದ್ದೇನೆ,
ನಾನು ನನ್ನ ಕೆಲಸದ ಬಗ್ಗೆ ಹೆದರಿಕೆಯನ್ನು ಹೊಂದಿದ್ದೇನೆ,
ನನಗೆ ಸಂತೋಷವಾಗಿದೆ,EMOTION
ನನ್ನ ಹೃದಯ ಹಿಂದೆ ಕಲ್ಲುಗಳಿವೆ,
ನನಗೆ ಕೋಪ ಬಂದಿದೆ,EMOTION
ನಾನು ಸಮಾಧಾನದಿಂದ ನಿದ್ದೆ ಮಾಡುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನ್ನ ಮನಸ್ಸು ನಿಶ್ಚಲವಾಗಿದೆ,EMOTION
ಅವನು ನನ್ನನ್ನು ಬೆಂಕಿಗೆ ಹಾಕಿದನು,NOEMOTION
ನಾನು ಸಂತೋಷದಿಂದ ಹಾಡು ಹಾಡುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಸೋಂಕನ್ನು ಗುಣಮಾಡಲು ಹೋಗಿದ್ದೇನೆ,NOEMOTION
ಅವನು ನನ್ನನ್ನು ಸಂತೋಷಗೊಳಿಸಿದನು,EMOTION
ನಾನು ನನ್ನ ನೆರಳಿನಿಂದ ಹೊರಗೆ ಬರುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ಸಮಾಧಾನವಾಗಿದೆ,NOEMOTION
ನಾನು ನನ್ನ ಗುರುಗಳನ್ನು ಗೌರವಿಸುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಸೋಂಕನ್ನು ನಿರ್ಮೂಲನ ಮಾಡಿದ್ದೇನೆ,
ಅವನು ನನ್ನ ಮನಸ್ಸನ್ನು ಹೀರಿದನು,EMOTION
ನಾನು ಆನಂದದಿಂದ ನಲಿಯುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ವಾಸಕ್ಕೆ ಹಿಂತಿರುಗುವ ಸಮಯವಾಯಿತು,NOEMOTION
ನಾನು ಸಂತೋಷದಿಂದ ಗುಡುಗುತ್ತಿದ್ದೇನೆ,EMOTION
ನನ್ನ ಮನಸ್ಸು ಕಸಿವಿಸಿದೆ,EMOTION
ನಾನು ನನ್ನ ಆದರವನ್ನು ತೋರಿಸುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ರೋಸಿ ಬಂದಿದೆ,
ನಾನು ನನ್ನ ಪ್ರೀತಿಯನ್ನು ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನನಗೆ ನಿದ್ರೆ ಬರುವುದಿಲ್ಲ,NOEMOTION
ನಾನು ನನ್ನ ಕಾರ್ಯಕ್ಕೆ ನೇರವಾಗಿ ನಿರ್ಧರಿಸಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ಸಂತೋಷ ತುಂಬಿದೆ,EMOTION
ನನ್ನ ಹೃದಯವು ತುಂಬಾ ಸಂತೋಷದಿಂದ ತುಂಬಿದೆ,EMOTION
ನಾನು ನನ್ನ ಸಹೋದರಿಯನ್ನು ಬಹಳ ಪ್ರೀತಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನನಗೆ ಹೆಚ್ಚು ಚಿಂತೆ ಇಲ್ಲ,NOEMOTION
ನಾನು ನನ್ನ ಕಾರ್ಯವನ್ನು ಸಂಪೂರ್ಣ ಪೂರ್ಣಗೊಳಿಸಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಯಶಸ್ವಿಯಾಗಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಕುಟುಂಬವನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಮಗುವನ್ನು ನೋಡಲು ಹತ್ತು ನಿಮಿಷಗಳನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ನನ್ನ ನೆರೆಹೊರೆಯವರು ಬಹಳ ಸಹಾಯ ಮಾಡಿದರು,NOEMOTION
ನನಗೆ ಸಮಯ ಸಾಲದು ಎಂಬ ಚಿಂತೆ ನನ್ನಲ್ಲಿ ಇಲ್ಲ,NOEMOTION
ನನ್ನ ಬಾಳು ಸುಖಮಯವಾಗಿದೆ,EMOTION
ನಾನು ನನ್ನ ಕೆಲಸವನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದೆನೆಂದು ತೃಪ್ತಿಯಾಗಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಹುಡುಗರನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಅಧ್ಯಯನದಲ್ಲಿ ಉತ್ತಮವಾಗಿದ್ದೇನೆ,EMOTION
ನನಗೆ ತುಂಬಾ ಉತ್ಸಾಹವಿದೆ,EMOTION
ನಾನು ನನ್ನ ಪ್ರೀತಿಯನ್ನು ನನ್ನ ಮಗಳಿಗೆ ತೋರುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಸ್ನೇಹಿತರನ್ನು ಕಂಡು ಸಂತೋಷಪಡುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಕುಟುಂಬವನ್ನು ಸಮೃದ್ಧವಾಗಿ ತೋರುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ಬಹಳ ಉಲ್ಲಾಸವಿದೆ,EMOTION
ನಾನು ನನ್ನ ಸೋದರನನ್ನು ತುಂಬಾ ಪ್ರೀತಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಹೊಂದಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಕೆಲಸದಲ್ಲಿ ಸಮರ್ಥನಾಗಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಸ್ನೇಹಿತರ ಸಹಾಯದಿಂದ ಸಂತೋಷಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನನಗೆ ತುಂಬಾ ಪ್ರೀತಿಯ ಮತ್ತು ಪ್ರೋತ್ಸಾಹವಿದೆ,EMOTION
ನನ್ನ ಕೆಲಸದಲ್ಲಿ ಮೆಚ್ಚುಗೆ ಇದೆ,NOEMOTION
ನಾನು ನನ್ನ ಜೀವನದಲ್ಲಿ ಸ್ಫೂರ್ತಿಗೊಂಡಿದ್ದೇನೆ,NOEMOTION
ನನಗೆ ನನ್ನ ಪ್ರೀತಿಯ ಮತ್ತು ಸಂತೋಷದ ಸ್ಥಾನದಲ್ಲಿ ಬದಲಾವಣೆ ಆಗಿದೆ,NOEMOTION
ನನ್ನ ಪರಿವಾರದವರು ನನ್ನ ಪ್ರೀತಿಯ ಮತ್ತು ಗೌರವದಿಂದ ನೋಡುತ್ತಾರೆ,NOEMOTION
ನಾನು ನನ್ನ ಹುಡುಗರನ್ನು ಬೆಳ್ಳಗೆ ಕಂಡಾಗ ನನಗೆ ತುಂಬಾ ಸಂತೋಷವಾಯಿತು,EMOTION
ನನ್ನ ಪ್ರಿಯತಮರು ಎಂದೆಂದಿಗೂ ನನ್ನ ಹೃದಯದಲ್ಲಿ ಇರುವರು,NOEMOTION
ನಾನು ನನ್ನ ಸಹೋದರಿಯ ಸಹಾಯದಿಂದ ಸಮಾಧಾನವನ್ನು ಹೊಂದಿದ್ದೇನೆ,NOEMOTION
ನನ್ನ ಪ್ರೀತಿಯ ವ್ಯಕ್ತಿ ನನ್ನ ಜೀವನದಲ್ಲಿ ಅತ್ಯಂತ ಮಹತ್ವದಲ್ಲಿರುವನು,NOEMOTION
ನಾನು ನನ್ನ ಪ್ರೀತಿಯ ವ್ಯಕ್ತಿಯನ್ನು ಎಂದೆಂದಿಗೂ ಪ್ರೀತಿಸುತ್ತಿರುವೆನು,EMOTION
ನನ್ನ ಪ್ರೀತಿಯ ವ್ಯಕ್ತಿಯ ಕನಸುಗಳು ನನ್ನ ಜೀವನದಲ್ಲಿ ಅತ್ಯಂತ ಮುಖ್ಯವಾಗಿರುವುವು,NOEMOTION
ನಾನು ನನ್ನ ಕೆಲಸವನ್ನು ಸಮಾರಂಭಿಸಿದ ಹಾಗೆ ನನಗೆ ಸಮಾಧಾನ ಸಿಕ್ಕಿದೆ,NOEMOTION
ನನ್ನ ಕಾರ್ಯದಲ್ಲಿ ಯಶಸ್ಸು ತಾಳಿದೆ,NOEMOTION
ನಾನು ನನ್ನ ಗುರುಗಳನ್ನು ಬಹಳ ಗೌರವದಿಂದ ನೋಡುತ್ತೇನೆ,NOEMOTION
"ಕೆಲವರಿಗೆ ಹೆಚ್ಚು ಬುದ್ಧಿವಂತಿಕೆ ಇರುತ್ತದೆ, ಮತ್ತೆ ಕೆಲವರಿಗೆ ಹೆಚ್ಚು ಭಾವೋದ್ವೇಗ ಇರುತ್ತದೆ",NOEMOTION
ನಮ್ಮ ಕರ್ತವ್ಯ ಏನೆಂದರೆ ಸಮಾಜದ ಹಿತಕ್ಕಾಗಿ ಕೆಲಸ ಮಾಡುವುದು,NOEMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಸಂತೋಷದಿಂದ ತುಂಬಿದ್ದೇನೆ,EMOTION
ಆತನ ನೋಟಕ್ಕೆ ನಾನು ಹೆಚ್ಚು ನಮ್ರತೆ ತೋರಿಸುತ್ತೇನೆ,NOEMOTION
ನಾವು ಪ್ರೀತಿಸುವ ಮತ್ತು ಕೆಲಸ ಮಾಡುವುದು ನಮ್ಮ ಸ್ವಭಾವದ ಒಂದು ಭಾಗ,NOEMOTION
ಕನಸಿನಲ್ಲಿಯೂ ನಮ್ಮ ಹೃದಯದಲ್ಲಿಯೂ ಸುಖವಿದೆ,NOEMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಹರ್ಷಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನಮ್ಮ ಜೀವನದ ಸಾರವೆಂದರೆ ಮತ್ತೊಬ್ಬರಿಗೆ ಸಹಾಯ ಮಾಡುವುದು,NOEMOTION
ನಿಮ್ಮ ಸ್ನೇಹ ನನಗೆ ಎಷ್ಟು ಬಿಡುವೆಯನ್ನು ತರುತ್ತದ,NOEMOTION
ನಿನ್ನ ನೋಟದಲ್ಲಿ ನನ್ನ ಪ್ರೀತಿಯಿದೆ,NOEMOTION
ಅವಳ ವಿಷಯವಾಗಿ ನಿನಗೆ ಏನಾದರೂ ಕಲಾವಿದನಾಗಿದ್ದರೆ ಬಹಳ ಖುಷಿಯಾಗುತ್ತಿತ್ತು,EMOTION
ಅವಳನ್ನು ಕಂಡಾಗ ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಸಂತೋಷವಾಯಿತು,EMOTION
ಆ ಸಂದರ್ಭದಲ್ಲಿ ನಾನು ದುಃಖಿತನಾಗಿದ್ದೆ,EMOTION
ನನ್ನ ಜೀವನದಲ್ಲಿ ನೀನು ಅತ್ಯಂತ ಮುಖ್ಯ ವ್ಯಕ್ತಿ,NOEMOTION
ನಿನ್ನನ್ನು ನೋಡಿ ನನಗೆ ನಗು ಬಂದಿತು,EMOTION
ನನ್ನ ಹೃದಯವು ನಿನ್ನ ಕಡೆಗೆ ಹರಿಯುತ್ತಿದೆ,NOEMOTION
ಅವನು ಹೊಸದಾಗಿ ಬಂದಾಗ ನಾನು ಹೆದರಿದೆ,EMOTION
ಅವಳು ನನ್ನನ್ನು ದೂರುತ್ತಿದ್ದಾಳೆ ಎಂದು ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಅಂಜಿಕೆ ಹುಟ್ಟಿಸಿತು,NOEMOTION
ನನ್ನ ಬುದ್ಧಿ ಸ್ಥಿರವಾಗಿಲ್ಲ,NOEMOTION
ಈ ಪುಸ್ತಕ ಅತ್ಯಂತ ಆಸಕ್ತಿಕರವಾಗಿದೆ,NOEMOTION
ಅವನು ನನ್ನನ್ನು ಬಿಟ್ಟು ಹೋದನು,NOEMOTION
ನನಗೆ ಬಹಳ ಆನಂದವಾಗಿದೆ ಈ ಸಂದರ್ಭದಲ್ಲಿ ಇರುವುದು,EMOTION
ಆ ಮನುಷ್ಯ ನನ್ನ ಕೈಯಿಂದ ಒಂದು ಪುಸ್ತಕವನ್ನು ಕದಿಯಿತು,NOEMOTION
ನಾನು ನನ್ನ ಪ್ರೀತಿಯನ್ನು ಅದಕ್ಕೆ ತಿಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,NOEMOTION
ನಾನು ಕುಳಿತಿದ್ದು ಕಿಟ್ಟಿಗೆ ನೋಡುತ್ತಾ ಇದ್ದೆ,NOEMOTION
ಅದು ನನ್ನ ಮೆದುಳಿಗೆ ಸುಖವನ್ನು ತಂದಿತು,EMOTION
ಅವನ ಕೈಯಿಂದ ಕಿತ್ತುಕೊಂಡಿದ್ದು ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಅನುಕೂಲವಾಗಿದೆ,NOEMOTION
ಈ ಪ್ರಪಂಚ ಅಷ್ಟು ಸುಂದರವಾಗಿದೆ ಎಂಬುದು ನನ್ನ ನಂಬಿಕೆ,EMOTION
ನನ್ನ ಹೃದಯದಲ್ಲಿ ಸದಾ ಪ್ರೀತಿ ಇರುವುದು,EMOTION
ನಿನ್ನ ಸಹವಾಸವು ನನ್ನನ್ನು ಸುಖವಾಗಿಸುತ್ತದೆ,EMOTION
ನಾನು ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ ಮತ್ತು ನಿನ್ನನ್ನು ಕಾಯಿರಿಸುತ್ತೇನೆ,EMOTION
ನಿನ್ನ ಮುಖದ ನಗು ನನ್ನ ದಿನವನ್ನು ಹಾಸ್ಯಮಯವಾಗಿ ಮಾಡುತ್ತದೆ,EMOTION
ನನ್ನ ಜೀವನದ ಸಾರ್ಥಕತೆ ನಿನ್ನ ಸಮೀಪದಲ್ಲಿರುವುದು,NOEMOTION
ನಾನು ನಿನ್ನನ್ನು ನೋಡಿದಾಗ ನನ್ನ ಹೃದಯದಲ್ಲಿ ಆನಂದವುಂಟಾಗುತ್ತದೆ,EMOTION
ನೀನು ನನ್ನ ಬೆಳಗ್ಗೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತೀಯೆ,NOEMOTION
ನಿನ್ನ ಪ್ರೀತಿ ನನ್ನ ಹೃದಯದ ಮೇಲೆ ಸದಾ ಪ್ರಭಾವ ಬೀರುತ್ತಿದೆ,NOEMOTION
ನಿನ್ನ ಪ್ರೀತಿ ನನ್ನ ಹೃದಯದ ಮೇಲೆ,
